_id,t,o
ETH_NZL,0.000,0.971
ETH_OMN,0.000,0.886
ETH_PAK,0.000,1.064
ETH_PAN,0.000,0.757
ETH_PER,0.000,1.162
ETH_PHL,0.000,0.745
ETH_PLW,0.000,0.612
ETH_PNG,0.000,0.715
ETH_POL,0.000,0.840
ETH_PRI,0.000,0.661
ETH_PRK,0.000,0.881
ETH_PRT,0.000,0.593
ETH_PRY,0.000,1.234
ETH_PSE,0.000,0.477
ETH_PYF,0.000,0.749
ETH_QAT,0.000,0.505
ETH_REU,0.000,n.a.
ETH_ROU,0.000,0.643
ETH_RUS,0.000,1.190
ETH_RWA,0.000,1.643
ETH_SAU,0.000,0.894
ETH_SDN,0.000,0.951
ETH_SEN,0.000,0.661
ETH_SGP,0.000,0.549
ETH_SHN,0.000,n.a.
ETH_SLB,0.000,0.676
ETH_SLE,0.000,0.720
ETH_SLV,0.000,0.752
ETH_SMR,0.000,0.627
ETH_SOM,0.000,0.740
ETH_SPM,0.000,n.a.
ETH_SRB,0.000,0.686
ETH_STP,0.000,0.657
ETH_SUR,0.000,0.712
ETH_SVK,0.000,0.721
ETH_SVN,0.000,0.561
ETH_SWE,0.000,0.845
ETH_SWZ,0.000,0.661
ETH_SYC,0.000,0.487
ETH_SYR,0.000,0.619
ETH_TCA,0.000,0.670
ETH_TCD,0.000,1.279
ETH_TGO,0.000,0.682
ETH_THA,0.000,0.668
ETH_TJK,0.000,1.251
ETH_TKL,0.000,n.a.
ETH_TKM,0.000,1.229
ETH_TLS,0.000,0.677
ETH_TON,0.000,0.707
ETH_TTO,0.000,0.663
ETH_TUN,0.000,0.566
ETH_TUR,0.000,0.753
ETH_TUV,0.000,0.693
ETH_TWN,0.000,n.a.
ETH_TZA,0.000,0.657
ETH_UGA,0.000,1.452
ETH_UKR,0.000,0.600
ETH_URY,0.000,1.013
ETH_USA,0.000,1.608
ETH_UZB,0.000,1.455
ETH_VCT,0.000,0.660
ETH_VEN,0.000,0.837
ETH_VGB,0.000,0.660
ETH_VIR,0.000,0.661
ETH_VNM,0.000,1.160
ETH_VUT,0.000,0.681
ETH_WLF,0.000,n.a.
ETH_WSM,0.000,0.708
ETH_YEM,0.000,0.639
ETH_ZAF,0.000,0.862
ETH_ZMB,0.000,1.229
ETH_ZWE,0.000,1.061
FIN_ABW,0.000,0.255
FIN_AFG,0.000,0.938
FIN_AGO,0.000,0.813
FIN_AIA,0.000,n.a.
FIN_ALB,0.000,0.329
FIN_AND,0.000,0.358
FIN_ANT,0.000,n.a.
FIN_ARE,0.000,0.474
FIN_ARG,0.000,1.092
FIN_ARM,0.000,0.554
FIN_ASM,0.000,0.449
FIN_ATG,0.000,0.240
FIN_AUS,0.000,0.872
FIN_AUT,0.000,0.446
FIN_AZE,0.000,0.705
FIN_BDI,0.000,0.852
FIN_BEL,0.000,0.214
FIN_BEN,0.000,0.353
FIN_BFA,0.000,0.673
FIN_BGD,0.000,0.804
FIN_BGR,0.000,0.449
FIN_BHR,0.000,0.363
FIN_BHS,0.000,0.244
FIN_BIH,0.000,0.331
FIN_BLR,0.000,0.366
FIN_BLZ,0.000,0.311
FIN_BMU,0.000,0.223
FIN_BOL,0.000,1.316
FIN_BRA,0.000,0.846
FIN_BRB,0.000,0.246
FIN_BRN,0.000,0.467
FIN_BTN,0.000,0.804
FIN_BWA,0.000,0.786
FIN_CAF,0.000,0.805
FIN_CAN,0.000,0.737
FIN_CHE,0.000,0.430
FIN_CHL,0.000,0.491
FIN_CHN,0.000,1.139
FIN_CIV,0.000,0.421
FIN_CMR,0.000,0.463
FIN_COD,0.000,0.413
FIN_COG,0.000,0.521
FIN_COK,0.000,n.a.
FIN_COL,0.000,0.679
FIN_COM,0.000,0.378
FIN_CPV,0.000,0.217
FIN_CRI,0.000,0.355
FIN_CUB,0.000,0.311
FIN_CYM,0.000,0.264
FIN_CYP,0.000,0.267
FIN_CZE,0.000,0.420
FIN_DEU,0.000,0.349
FIN_DJI,0.000,0.425
FIN_DMA,0.000,0.243
FIN_DNK,0.000,0.153
FIN_DOM,0.000,0.277
FIN_DZA,0.000,0.439
FIN_ECU,0.000,0.476
FIN_EGY,0.000,0.409
FIN_ERI,0.000,0.554
FIN_ESP,0.000,0.489
FIN_EST,0.000,0.152
FIN_ETH,0.000,0.696
FIN_FJI,0.000,0.483
FIN_FLK,0.000,n.a.
FIN_FRA,0.000,0.545
FIN_FRO,0.000,0.155
FIN_FSM,0.000,0.506
FIN_GAB,0.000,0.362
FIN_GBR,0.000,0.248
FIN_GEO,0.000,0.447
FIN_GHA,0.000,0.341
FIN_GIB,0.000,0.185
FIN_GIN,0.000,0.306
FIN_GLP,0.000,n.a.
FIN_GMB,0.000,0.228
FIN_GNB,0.000,0.267
FIN_GNQ,0.000,0.311
FIN_GRC,0.000,0.297
FIN_GRD,0.000,0.249
FIN_GRL,0.000,0.282
FIN_GTM,0.000,0.418
FIN_GUF,0.000,n.a.
FIN_GUM,0.000,0.511
FIN_GUY,0.000,0.336
FIN_HKG,0.000,0.473
FIN_HND,0.000,0.414
FIN_HRV,0.000,0.367
FIN_HTI,0.000,0.270
FIN_HUN,0.000,0.482
FIN_IDN,0.000,0.545
FIN_IND,0.000,0.926
FIN_IRL,0.000,0.203
FIN_IRN,0.000,0.984
FIN_IRQ,0.000,0.670
FIN_ISL,0.000,0.233
FIN_ISR,0.000,0.292
FIN_ITA,0.000,0.285
FIN_JAM,0.000,0.279
FIN_JOR,0.000,0.423
FIN_JPN,0.000,0.723
FIN_KAZ,0.000,1.419
FIN_KEN,0.000,0.622
FIN_KGZ,0.000,1.504
FIN_KHM,0.000,0.554
FIN_KIR,0.000,0.413
FIN_KNA,0.000,0.240
FIN_KOR,0.000,0.706
FIN_KWT,0.000,0.425
FIN_LAO,0.000,0.749
FIN_LBN,0.000,0.287
FIN_LBR,0.000,0.521
FIN_LBY,0.000,0.367
FIN_LCA,0.000,0.246
FIN_LIE,0.000,0.475
FIN_LKA,0.000,0.451
FIN_LSO,0.000,0.600
FIN_LTU,0.000,0.161
FIN_LUX,0.000,0.255
FIN_LVA,0.000,0.217
FIN_MAC,0.000,0.473
FIN_MAR,0.000,0.351
FIN_MCO,0.000,0.205
FIN_MDA,0.000,0.446
FIN_MDG,0.000,0.570
FIN_MDV,0.000,0.368
FIN_MEX,0.000,0.603
FIN_MHL,0.000,0.463
FIN_MKD,0.000,0.360
FIN_MLI,0.000,0.630
FIN_MLT,0.000,0.217
FIN_MMR,0.000,0.964
FIN_MNE,0.000,0.253
FIN_MNG,0.000,1.578
FIN_MNP,0.000,0.511
FIN_MOZ,0.000,0.514
FIN_MRT,0.000,0.478
FIN_MSR,0.000,n.a.
FIN_MTQ,0.000,n.a.
FIN_MUS,0.000,0.392
FIN_MWI,0.000,0.986
FIN_MYS,0.000,0.514
FIN_MYT,0.000,n.a.
FIN_NAM,0.000,0.531
FIN_NCL,0.000,0.554
FIN_NER,0.000,0.721
FIN_NFK,0.000,n.a.
FIN_NGA,0.000,0.598
FIN_NIC,0.000,0.488
FIN_NIU,0.000,n.a.
FIN_NLD,0.000,0.228
FIN_NOR,0.000,0.228
FIN_NPL,0.000,1.032
FIN_NRU,0.000,0.477
FIN_NZL,0.000,0.755
FIN_OMN,0.000,0.756
FIN_PAK,0.000,0.934
FIN_PAN,0.000,0.330
FIN_PER,0.000,0.735
FIN_PHL,0.000,0.624
FIN_PLW,0.000,0.493
FIN_PNG,0.000,0.595
FIN_POL,0.000,0.346
FIN_PRI,0.000,0.239
FIN_PRK,0.000,0.759
FIN_PRT,0.000,0.221
FIN_PRY,0.000,0.893
FIN_PSE,0.000,0.257
FIN_PYF,0.000,0.415
FIN_QAT,0.000,0.375
FIN_REU,0.000,n.a.
FIN_ROU,0.000,0.385
FIN_RUS,0.000,0.922
FIN_RWA,0.000,0.840
FIN_SAU,0.000,0.725
FIN_SDN,0.000,0.775
FIN_SEN,0.000,0.286
FIN_SGP,0.000,0.424
FIN_SHN,0.000,n.a.
FIN_SLB,0.000,0.525
FIN_SLE,0.000,0.347
FIN_SLV,0.000,0.326
FIN_SMR,0.000,0.331
FIN_SOM,0.000,0.611
FIN_SPM,0.000,n.a.
FIN_SRB,0.000,0.412
FIN_STP,0.000,0.285
FIN_SUR,0.000,0.315
FIN_SVK,0.000,0.455
FIN_SVN,0.000,0.295
FIN_SWE,0.000,0.368
FIN_SWZ,0.000,0.508
FIN_SYC,0.000,0.360
FIN_SYR,0.000,0.386
FIN_TCA,0.000,0.247
FIN_TCD,0.000,0.907
FIN_TGO,0.000,0.309
FIN_THA,0.000,0.544
FIN_TJK,0.000,1.121
FIN_TKL,0.000,n.a.
FIN_TKM,0.000,1.099
FIN_TLS,0.000,0.558
FIN_TON,0.000,0.457
FIN_TTO,0.000,0.252
FIN_TUN,0.000,0.270
FIN_TUR,0.000,0.494
FIN_TUV,0.000,0.463
FIN_TWN,0.000,n.a.
FIN_TZA,0.000,0.527
FIN_UGA,0.000,0.812
FIN_UKR,0.000,0.339
FIN_URY,0.000,0.672
FIN_USA,0.000,1.180
FIN_UZB,0.000,1.325
FIN_VCT,0.000,0.248
FIN_VEN,0.000,0.421
FIN_VGB,0.000,0.239
FIN_VIR,0.000,0.239
FIN_VNM,0.000,1.034
FIN_VUT,0.000,0.492
FIN_WLF,0.000,n.a.
FIN_WSM,0.000,0.450
FIN_YEM,0.000,0.509
FIN_ZAF,0.000,0.694
FIN_ZMB,0.000,1.076
FIN_ZWE,0.000,0.907
FJI_ABW,0.000,0.274
FJI_AFG,0.000,0.880
FJI_AGO,0.000,0.891
FJI_AIA,0.000,n.a.
FJI_ALB,0.000,0.485
FJI_AND,0.000,0.547
FJI_ANT,0.000,n.a.
FJI_ARE,0.000,0.424
FJI_ARG,0.000,0.966
FJI_ARM,0.000,0.508
FJI_ASM,0.000,0.074
FJI_ATG,0.000,0.291
FJI_AUS,0.000,0.470
FJI_AUT,0.000,0.594
FJI_AZE,0.000,0.659
FJI_BDI,0.000,0.789
FJI_BEL,0.000,0.446
FJI_BEN,0.000,0.487
FJI_BFA,0.000,0.807
FJI_BGD,0.000,0.647
FJI_BGR,0.000,0.589
FJI_BHR,0.000,0.312
FJI_BHS,0.000,0.297
FJI_BIH,0.000,0.486
FJI_BLR,0.000,0.654
FJI_BLZ,0.000,0.325
FJI_BMU,0.000,0.309
FJI_BOL,0.000,1.195
FJI_BRA,0.000,0.861
FJI_BRB,0.000,0.292
FJI_BRN,0.000,0.201
FJI_BTN,0.000,0.647
FJI_BWA,0.000,0.725
FJI_CAF,0.000,0.939
FJI_CAN,0.000,1.841
FJI_CHE,0.000,0.619
FJI_CHL,0.000,0.369
FJI_CHN,0.000,0.831
FJI_CIV,0.000,0.555
FJI_CMR,0.000,0.597
FJI_COD,0.000,0.521
FJI_COG,0.000,0.634
FJI_COK,0.000,n.a.
FJI_COL,0.000,0.678
FJI_COM,0.000,0.291
FJI_CPV,0.000,0.353
FJI_CRI,0.000,0.344
FJI_CUB,0.000,0.334
FJI_CYM,0.000,0.277
FJI_CYP,0.000,0.381
FJI_CZE,0.000,0.661
FJI_DEU,0.000,0.589
FJI_DJI,0.000,0.432
FJI_DMA,0.000,0.290
FJI_DNK,0.000,0.430
FJI_DOM,0.000,0.319
FJI_DZA,0.000,0.643
FJI_ECU,0.000,0.427
FJI_EGY,0.000,0.513
FJI_ERI,0.000,0.565
FJI_ESP,0.000,0.694
FJI_EST,0.000,0.450
FJI_ETH,0.000,0.707
FJI_FIN,0.000,0.483
FJI_FLK,0.000,n.a.
FJI_FRA,0.000,0.734
FJI_FRO,0.000,0.368
FJI_FSM,0.000,0.135
FJI_GAB,0.000,0.497
FJI_GBR,0.000,0.473
FJI_GEO,0.000,0.593
FJI_GHA,0.000,0.475
FJI_GIB,0.000,0.389
FJI_GIN,0.000,0.441
FJI_GLP,0.000,n.a.
FJI_GMB,0.000,0.367
FJI_GNB,0.000,0.403
FJI_GNQ,0.000,0.445
FJI_GRC,0.000,0.435
FJI_GRD,0.000,0.289
FJI_GRL,0.000,0.447
FJI_GTM,0.000,0.353
FJI_GUF,0.000,n.a.
FJI_GUM,0.000,0.150
FJI_GUY,0.000,0.380
FJI_HKG,0.000,0.197
FJI_HND,0.000,0.423
FJI_HRV,0.000,0.515
FJI_HTI,0.000,0.304
FJI_HUN,0.000,0.631
FJI_IDN,0.000,0.295
FJI_IND,0.000,0.842
FJI_IRL,0.000,0.416
FJI_IRN,0.000,0.933
FJI_IRQ,0.000,0.613
FJI_ISL,0.000,0.437
FJI_ISR,0.000,0.395
FJI_ITA,0.000,0.463
FJI_JAM,0.000,0.299
FJI_JOR,0.000,0.507
FJI_JPN,0.000,0.395
FJI_KAZ,0.000,1.373
FJI_KEN,0.000,0.565
FJI_KGZ,0.000,1.445
FJI_KHM,0.000,0.315
FJI_KIR,0.000,0.113
FJI_KNA,0.000,0.289
FJI_KOR,0.000,0.389
FJI_KWT,0.000,0.369
FJI_LAO,0.000,0.510
FJI_LBN,0.000,0.399
FJI_LBR,0.000,0.655
FJI_LBY,0.000,0.535
FJI_LCA,0.000,0.290
FJI_LIE,0.000,0.623
FJI_LKA,0.000,0.316
FJI_LSO,0.000,0.539
FJI_LTU,0.000,0.450
FJI_LUX,0.000,0.487
FJI_LVA,0.000,0.507
FJI_MAC,0.000,0.198
FJI_MAR,0.000,0.556
FJI_MCO,0.000,0.392
FJI_MDA,0.000,0.586
FJI_MDG,0.000,0.468
FJI_MDV,0.000,0.253
FJI_MEX,0.000,0.502
FJI_MHL,0.000,0.113
FJI_MKD,0.000,0.516
FJI_MLI,0.000,0.765
FJI_MLT,0.000,0.382
FJI_MMR,0.000,0.775
FJI_MNE,0.000,0.410
FJI_MNG,0.000,1.269
FJI_MNP,0.000,0.150
FJI_MOZ,0.000,0.441
FJI_MRT,0.000,0.637
FJI_MSR,0.000,n.a.
FJI_MTQ,0.000,n.a.
FJI_MUS,0.000,0.274
FJI_MWI,0.000,0.923
FJI_MYS,0.000,0.299
FJI_MYT,0.000,n.a.
FJI_NAM,0.000,0.573
FJI_NCL,0.000,0.136
FJI_NER,0.000,0.856
FJI_NFK,0.000,n.a.
FJI_NGA,0.000,0.732
FJI_NIC,0.000,0.485
FJI_NIU,0.000,n.a.
FJI_NLD,0.000,0.459
FJI_NOR,0.000,0.487
FJI_NPL,0.000,0.876
FJI_NRU,0.000,0.100
FJI_NZL,0.000,0.366
FJI_OMN,0.000,0.727
FJI_PAK,0.000,0.876
FJI_PAN,0.000,0.318
FJI_PER,0.000,0.669
FJI_PHL,0.000,0.338
FJI_PLW,0.000,0.151
FJI_PNG,0.000,0.193
FJI_POL,0.000,0.633
FJI_PRI,0.000,0.286
FJI_PRK,0.000,0.443
FJI_PRT,0.000,0.422
FJI_PRY,0.000,0.835
FJI_PSE,0.000,0.359
FJI_PYF,0.000,0.109
FJI_QAT,0.000,0.325
FJI_REU,0.000,n.a.
FJI_ROU,0.000,0.525
FJI_RUS,0.000,3.563
FJI_RWA,0.000,0.777
FJI_SAU,0.000,0.776
FJI_SDN,0.000,0.833
FJI_SEN,0.000,0.428
FJI_SGP,0.000,0.197
FJI_SHN,0.000,n.a.
FJI_SLB,0.000,0.122
FJI_SLE,0.000,0.481
FJI_SLV,0.000,0.270
FJI_SMR,0.000,0.509
FJI_SOM,0.000,0.572
FJI_SPM,0.000,n.a.
FJI_SRB,0.000,0.568
FJI_STP,0.000,0.419
FJI_SUR,0.000,0.366
FJI_SVK,0.000,0.603
FJI_SVN,0.000,0.443
FJI_SWE,0.000,0.630
FJI_SWZ,0.000,0.435
FJI_SYC,0.000,0.277
FJI_SYR,0.000,0.500
FJI_TCA,0.000,0.285
FJI_TCD,0.000,1.041
FJI_TGO,0.000,0.443
FJI_THA,0.000,0.305
FJI_TJK,0.000,1.063
FJI_TKL,0.000,n.a.
FJI_TKM,0.000,1.048
FJI_TLS,0.000,0.227
FJI_TON,0.000,0.067
FJI_TTO,0.000,0.289
FJI_TUN,0.000,0.448
FJI_TUR,0.000,0.635
FJI_TUV,0.000,0.077
FJI_TWN,0.000,n.a.
FJI_TZA,0.000,0.465
FJI_UGA,0.000,0.755
FJI_UKR,0.000,0.481
FJI_URY,0.000,0.614
FJI_USA,0.000,1.891
FJI_UZB,0.000,1.267
FJI_VCT,0.000,0.288
FJI_VEN,0.000,0.443
FJI_VGB,0.000,0.287
FJI_VIR,0.000,0.287
FJI_VNM,0.000,0.786
FJI_VUT,0.000,0.076
FJI_WLF,0.000,n.a.
FJI_WSM,0.000,0.072
FJI_YEM,0.000,0.510
FJI_ZAF,0.000,0.633
FJI_ZMB,0.000,1.003
FJI_ZWE,0.000,0.835
FLK_ABW,0.000,n.a.
FLK_AFG,0.000,n.a.
FLK_AGO,0.000,n.a.
FLK_AIA,0.000,n.a.
FLK_ALB,0.000,n.a.
FLK_AND,0.000,n.a.
FLK_ANT,0.000,n.a.
FLK_ARE,0.000,n.a.
FLK_ARG,0.000,n.a.
FLK_ARM,0.000,n.a.
FLK_ASM,0.000,n.a.
FLK_ATG,0.000,n.a.
FLK_AUS,0.000,n.a.
FLK_AUT,0.000,n.a.
FLK_AZE,0.000,n.a.
FLK_BDI,0.000,n.a.
FLK_BEL,0.000,n.a.
FLK_BEN,0.000,n.a.
FLK_BFA,0.000,n.a.
FLK_BGD,0.000,n.a.
FLK_BGR,0.000,n.a.
FLK_BHR,0.000,n.a.
FLK_BHS,0.000,n.a.
FLK_BIH,0.000,n.a.
FLK_BLR,0.000,n.a.
FLK_BLZ,0.000,n.a.
FLK_BMU,0.000,n.a.
FLK_BOL,0.000,n.a.
FLK_BRA,0.000,n.a.
FLK_BRB,0.000,n.a.
FLK_BRN,0.000,n.a.
FLK_BTN,0.000,n.a.
FLK_BWA,0.000,n.a.
FLK_CAF,0.000,n.a.
FLK_CAN,0.000,n.a.
FLK_CHE,0.000,n.a.
FLK_CHL,0.000,n.a.
FLK_CHN,0.000,n.a.
FLK_CIV,0.000,n.a.
FLK_CMR,0.000,n.a.
FLK_COD,0.000,n.a.
FLK_COG,0.000,n.a.
FLK_COK,0.000,n.a.
FLK_COL,0.000,n.a.
FLK_COM,0.000,n.a.
FLK_CPV,0.000,n.a.
FLK_CRI,0.000,n.a.
FLK_CUB,0.000,n.a.
FLK_CYM,0.000,n.a.
FLK_CYP,0.000,n.a.
FLK_CZE,0.000,n.a.
FLK_DEU,0.000,n.a.
FLK_DJI,0.000,n.a.
FLK_DMA,0.000,n.a.
FLK_DNK,0.000,n.a.
FLK_DOM,0.000,n.a.
FLK_DZA,0.000,n.a.
FLK_ECU,0.000,n.a.
FLK_EGY,0.000,n.a.
FLK_ERI,0.000,n.a.
FLK_ESP,0.000,n.a.
FLK_EST,0.000,n.a.
FLK_ETH,0.000,n.a.
FLK_FIN,0.000,n.a.
FLK_FJI,0.000,n.a.
FLK_FRA,0.000,n.a.
FLK_FRO,0.000,n.a.
FLK_FSM,0.000,n.a.
FLK_GAB,0.000,n.a.
FLK_GBR,0.000,n.a.
FLK_GEO,0.000,n.a.
FLK_GHA,0.000,n.a.
FLK_GIB,0.000,n.a.
FLK_GIN,0.000,n.a.
FLK_GLP,0.000,n.a.
FLK_GMB,0.000,n.a.
FLK_GNB,0.000,n.a.
FLK_GNQ,0.000,n.a.
FLK_GRC,0.000,n.a.
FLK_GRD,0.000,n.a.
FLK_GRL,0.000,n.a.
FLK_GTM,0.000,n.a.
FLK_GUF,0.000,n.a.
FLK_GUM,0.000,n.a.
FLK_GUY,0.000,n.a.
FLK_HKG,0.000,n.a.
FLK_HND,0.000,n.a.
FLK_HRV,0.000,n.a.
FLK_HTI,0.000,n.a.
FLK_HUN,0.000,n.a.
FLK_IDN,0.000,n.a.
FLK_IND,0.000,n.a.
FLK_IRL,0.000,n.a.
FLK_IRN,0.000,n.a.
FLK_IRQ,0.000,n.a.
FLK_ISL,0.000,n.a.
FLK_ISR,0.000,n.a.
FLK_ITA,0.000,n.a.
FLK_JAM,0.000,n.a.
FLK_JOR,0.000,n.a.
FLK_JPN,0.000,n.a.
FLK_KAZ,0.000,n.a.
FLK_KEN,0.000,n.a.
FLK_KGZ,0.000,n.a.
FLK_KHM,0.000,n.a.
FLK_KIR,0.000,n.a.
FLK_KNA,0.000,n.a.
FLK_KOR,0.000,n.a.
FLK_KWT,0.000,n.a.
FLK_LAO,0.000,n.a.
FLK_LBN,0.000,n.a.
FLK_LBR,0.000,n.a.
FLK_LBY,0.000,n.a.
FLK_LCA,0.000,n.a.
FLK_LIE,0.000,n.a.
FLK_LKA,0.000,n.a.
FLK_LSO,0.000,n.a.
FLK_LTU,0.000,n.a.
FLK_LUX,0.000,n.a.
FLK_LVA,0.000,n.a.
FLK_MAC,0.000,n.a.
FLK_MAR,0.000,n.a.
FLK_MCO,0.000,n.a.
FLK_MDA,0.000,n.a.
FLK_MDG,0.000,n.a.
FLK_MDV,0.000,n.a.
FLK_MEX,0.000,n.a.
FLK_MHL,0.000,n.a.
FLK_MKD,0.000,n.a.
FLK_MLI,0.000,n.a.
FLK_MLT,0.000,n.a.
FLK_MMR,0.000,n.a.
FLK_MNE,0.000,n.a.
FLK_MNG,0.000,n.a.
FLK_MNP,0.000,n.a.
FLK_MOZ,0.000,n.a.
FLK_MRT,0.000,n.a.
FLK_MSR,0.000,n.a.
FLK_MTQ,0.000,n.a.
FLK_MUS,0.000,n.a.
FLK_MWI,0.000,n.a.
FLK_MYS,0.000,n.a.
FLK_MYT,0.000,n.a.
FLK_NAM,0.000,n.a.
FLK_NCL,0.000,n.a.
FLK_NER,0.000,n.a.
FLK_NFK,0.000,n.a.
FLK_NGA,0.000,n.a.
FLK_NIC,0.000,n.a.
FLK_NIU,0.000,n.a.
FLK_NLD,0.000,n.a.
FLK_NOR,0.000,n.a.
FLK_NPL,0.000,n.a.
FLK_NRU,0.000,n.a.
FLK_NZL,0.000,n.a.
FLK_OMN,0.000,n.a.
FLK_PAK,0.000,n.a.
FLK_PAN,0.000,n.a.
FLK_PER,0.000,n.a.
FLK_PHL,0.000,n.a.
FLK_PLW,0.000,n.a.
FLK_PNG,0.000,n.a.
FLK_POL,0.000,n.a.
FLK_PRI,0.000,n.a.
FLK_PRK,0.000,n.a.
FLK_PRT,0.000,n.a.
FLK_PRY,0.000,n.a.
FLK_PSE,0.000,n.a.
FLK_PYF,0.000,n.a.
FLK_QAT,0.000,n.a.
FLK_REU,0.000,n.a.
FLK_ROU,0.000,n.a.
FLK_RUS,0.000,n.a.
FLK_RWA,0.000,n.a.
FLK_SAU,0.000,n.a.
FLK_SDN,0.000,n.a.
FLK_SEN,0.000,n.a.
FLK_SGP,0.000,n.a.
FLK_SHN,0.000,n.a.
FLK_SLB,0.000,n.a.
FLK_SLE,0.000,n.a.
FLK_SLV,0.000,n.a.
FLK_SMR,0.000,n.a.
FLK_SOM,0.000,n.a.
FLK_SPM,0.000,n.a.
FLK_SRB,0.000,n.a.
FLK_STP,0.000,n.a.
FLK_SUR,0.000,n.a.
FLK_SVK,0.000,n.a.
FLK_SVN,0.000,n.a.
FLK_SWE,0.000,n.a.
FLK_SWZ,0.000,n.a.
FLK_SYC,0.000,n.a.
FLK_SYR,0.000,n.a.
FLK_TCA,0.000,n.a.
FLK_TCD,0.000,n.a.
FLK_TGO,0.000,n.a.
FLK_THA,0.000,n.a.
FLK_TJK,0.000,n.a.
FLK_TKL,0.000,n.a.
FLK_TKM,0.000,n.a.
FLK_TLS,0.000,n.a.
FLK_TON,0.000,n.a.
FLK_TTO,0.000,n.a.
FLK_TUN,0.000,n.a.
FLK_TUR,0.000,n.a.
FLK_TUV,0.000,n.a.
FLK_TWN,0.000,n.a.
FLK_TZA,0.000,n.a.
FLK_UGA,0.000,n.a.
FLK_UKR,0.000,n.a.
FLK_URY,0.000,n.a.
FLK_USA,0.000,n.a.
FLK_UZB,0.000,n.a.
FLK_VCT,0.000,n.a.
FLK_VEN,0.000,n.a.
FLK_VGB,0.000,n.a.
FLK_VIR,0.000,n.a.
FLK_VNM,0.000,n.a.
FLK_VUT,0.000,n.a.
FLK_WLF,0.000,n.a.
FLK_WSM,0.000,n.a.
FLK_YEM,0.000,n.a.
FLK_ZAF,0.000,n.a.
FLK_ZMB,0.000,n.a.
FLK_ZWE,0.000,n.a.
FRA_ABW,0.000,0.517
FRA_AFG,0.000,1.105
FRA_AGO,0.000,1.038
FRA_AIA,0.000,n.a.
FRA_ALB,0.000,0.513
FRA_AND,0.000,0.536
FRA_ANT,0.000,n.a.
FRA_ARE,0.000,0.634
FRA_ARG,0.000,1.321
FRA_ARM,0.000,0.745
FRA_ASM,0.000,0.716
FRA_ATG,0.000,0.499
FRA_AUS,0.000,1.033
FRA_AUT,0.000,0.621
FRA_AZE,0.000,0.896
FRA_BDI,0.000,1.008
FRA_BEL,0.000,0.512
FRA_BEN,0.000,0.578
FRA_BFA,0.000,0.898
FRA_BGD,0.000,0.961
FRA_BGR,0.000,0.631
FRA_BHR,0.000,0.523
FRA_BHS,0.000,0.521
FRA_BIH,0.000,0.512
FRA_BLR,0.000,0.716
FRA_BLZ,0.000,0.588
FRA_BMU,0.000,0.494
FRA_BOL,0.000,1.588
FRA_BRA,0.000,1.077
FRA_BRB,0.000,0.499
FRA_BRN,0.000,0.611
FRA_BTN,0.000,0.961
FRA_BWA,0.000,0.980
FRA_CAF,0.000,1.031
FRA_CAN,0.000,1.007
FRA_CHE,0.000,0.609
FRA_CHL,0.000,0.762
FRA_CHN,0.000,1.288
FRA_CIV,0.000,0.646
FRA_CMR,0.000,0.688
FRA_COD,0.000,0.639
FRA_COG,0.000,0.747
FRA_COK,0.000,n.a.
FRA_COL,0.000,0.944
FRA_COM,0.000,0.532
FRA_CPV,0.000,0.448
FRA_CRI,0.000,0.624
FRA_CUB,0.000,0.584
FRA_CYM,0.000,0.531
FRA_CYP,0.000,0.438
FRA_CZE,0.000,0.727
FRA_DEU,0.000,0.656
FRA_DJI,0.000,0.580
FRA_DMA,0.000,0.500
FRA_DNK,0.000,0.492
FRA_DOM,0.000,0.544
FRA_DZA,0.000,0.643
FRA_ECU,0.000,0.744
FRA_EGY,0.000,0.573
FRA_ERI,0.000,0.709
FRA_ESP,0.000,0.706
FRA_EST,0.000,0.512
FRA_ETH,0.000,0.852
FRA_FIN,0.000,0.545
FRA_FJI,0.000,0.734
FRA_FLK,0.000,n.a.
FRA_FRO,0.000,0.460
FRA_FSM,0.000,0.658
FRA_GAB,0.000,0.588
FRA_GBR,0.000,0.538
FRA_GEO,0.000,0.635
FRA_GHA,0.000,0.567
FRA_GIB,0.000,0.401
FRA_GIN,0.000,0.531
FRA_GLP,0.000,n.a.
FRA_GMB,0.000,0.454
FRA_GNB,0.000,0.493
FRA_GNQ,0.000,0.537
FRA_GRC,0.000,0.473
FRA_GRD,0.000,0.502
FRA_GRL,0.000,0.546
FRA_GTM,0.000,0.685
FRA_GUF,0.000,n.a.
FRA_GUM,0.000,0.657
FRA_GUY,0.000,0.579
FRA_HKG,0.000,0.628
FRA_HND,0.000,0.689
FRA_HRV,0.000,0.542
FRA_HTI,0.000,0.537
FRA_HUN,0.000,0.657
FRA_IDN,0.000,0.696
FRA_IND,0.000,1.085
FRA_IRL,0.000,0.484
FRA_IRN,0.000,1.143
FRA_IRQ,0.000,0.824
FRA_ISL,0.000,0.529
FRA_ISR,0.000,0.457
FRA_ITA,0.000,0.467
FRA_JAM,0.000,0.546
FRA_JOR,0.000,0.587
FRA_JPN,0.000,0.874
FRA_KAZ,0.000,1.610
FRA_KEN,0.000,0.777
FRA_KGZ,0.000,1.671
FRA_KHM,0.000,0.703
FRA_KIR,0.000,0.681
FRA_KNA,0.000,0.501
FRA_KOR,0.000,0.857
FRA_KWT,0.000,0.580
